id,title,users_score,age_rating,first_release_date,game_engine_id
1099,Devil Summoner: Raidou Kuzunoha vs. The Soulless Army,69,16,2007-02-26,
1100,Gurumin: A Monstrous Adventure,66,3,2004-12-25,
1101,Silent Hill: Origins,76,18,2007-11-06,
1102,Disaster Report,68,12,2015-02-18,
1103,Brain Challenge,65,0,2008-11-10,
1104,Tom Clancy's EndWar,61,12,2008-11-04,
1105,Devil May Cry,81,16,2001-08-23,
1106,Conker's Bad Fur Day,86,16,2001-03-05,
1107,Dance Maniax,88,7,2000-01-01,
1108,Airport Tycoon,85,3,2000-04-25,10
1109,Jets'n'Guns,69,12,2006-01-01,
1110,FIFA 08,78,3,2007-09-27,
1111,Dead Space 2,88,18,2011-01-25,
1112,Death Crimson OX,88,12,2001-05-10,
1113,Ethnic Cleansing,74,16,2002-01-21,
1114,Tom Clancy's H.A.W.X,77,12,2009-03-03,
1115,Super Smash Bros. Brawl,86,12,2008-01-31,
1116,The Legend of Heroes: Trails in the Sky,85,12,2015-06-11,
1117,Kingdom Hearts: Chain of Memories,65,3,2004-11-11,
1118,Forza Motorsport 3,77,3,2009-10-22,
1119,Under Defeat,61,16,2006-03-23,
1120,Quest for Glory V: Dragon Fire,49,12,1998-01-01,
1121,Dreamfall Chapters,77,12,2014-01-01,
1122,Imperium Galactica,72,12,1997-01-01,
1123,Space Empires IV,79,12,2000-11-07,
1124,Monster Hunter Frontier Online,83,12,2007-06-21,
1125,S.W.I.N.E.,69,12,2001-11-19,
1126,Radiant Historia,57,7,2010-11-03,
1127,LSD,41,12,1998-10-22,
1128,Gran Turismo 4,85,3,2005-02-22,
1129,Shadow of the Colossus,87,12,2005-10-18,
1130,Metal Gear Solid 4: Guns of the Patriots,88,18,2008-06-12,
1131,Ninja Reflex,92,7,2008-03-04,
1132,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,76,7,2008-10-20,
1133,Battle Raper 2,77,18,2005-04-22,
1134,FaceBreaker,65,12,2008-09-04,
1135,Tiger Woods PGA Tour 09,58,3,2009-03-19,
1136,"Kimi ga Yobu, Megido no Oka de",78,12,2008-12-26,
1137,Shukufuku no Campanella,65,7,2010-09-30,
1138,Planescape: Torment,87,16,1999-12-12,
1139,December When There Is No Angel,81,16,2003-09-26,
1140,Kusari,73,16,2005-09-22,
1141,Harry Potter and the Goblet of Fire,57,7,2006-06-13,10
1142,Brothers in Arms: Hell's Highway,79,18,2008-09-23,
1143,Medal of Honor,66,18,2010-10-12,
1144,Vampire Night,55,16,2001-11-16,
1145,Kizuna Encounter: Super Tag Battle,93,16,1996-09-20,
1146,Metal Slug 1st Mission,62,3,1999-01-01,
1147,The Legend of Zelda: The Wind Waker,87,7,2002-12-13,
1148,Clover Heart's,78,16,2003-11-28,
1149,Manhunt,78,18,2003-11-18,10
1150,Sonic 3D Blast,74,3,1996-11-01,
1151,Super Mario Bros. 2,78,3,2019-02-13,
1152,Super Mario Galaxy 2,87,3,2010-05-23,
1153,Bible Black,67,18,2006-11-21,
1154,Knights of Valour,79,18,1999-01-01,
1155,Machinarium,84,7,2009-10-16,1
1156,Spyro the Dragon,84,7,1998-09-10,
1157,Mario Kart DS,85,3,2005-11-14,
1158,How to Train Your Dragon,78,7,2010-03-23,
1159,Sangokushi Sousouden,65,12,1998-12-11,
1160,Glove on Fight,67,18,2002-05-12,
1161,K-On! Hōkago Live!!,76,7,2010-09-30,
1162,Touhou Seirensen ~ Undefined Fantastic Object,56,7,2009-08-15,
1163,The Legend of Heroes: Trails from Zero,73,18,2022-09-27,
1164,BloodRayne 2,75,18,2004-10-12,41
1165,The Legend of Zelda: Skyward Sword,83,12,2011-11-18,
1166,Alundra,82,7,1997-04-11,
1167,DJMax Ray,97,7,2012-09-28,
1168,Harry Potter and the Half-Blood Prince,69,16,2010-07-02,10
1169,Star Wars: Republic Commando,84,12,2005-03-01,
1170,Hannah Montana: Spotlight World Tour,76,7,2008-05-16,
1171,Britney's Dance Beat,68,3,2002-01-01,
1172,Metal Slug Advance,80,12,2004-11-12,
1173,Total War: Rome II,84,16,2014-09-03,
1174,World Cup 98,60,3,1998-03-31,
1175,Frogger: Helmet Chaos,79,3,2005-09-29,
1176,Dungeon Explorer: Warriors of Ancient Arts,77,7,2007-11-17,
1177,Harukanaru Toki no Naka de 3,93,7,2006-03-23,
1178,Baldr Sky,68,7,2019-12-20,
1179,Nintendogs,52,3,2005-04-21,
1180,Hoshizora no Memoria,68,12,2017-12-18,
1181,Brothers in Arms: Earned in Blood,76,16,2008-09-23,
1182,Brothers in Arms: D-Day,59,16,2006-11-07,
1183,Remember 11: The Age of Infinity,97,7,2004-03-18,
1184,Ragnarok Odyssey,90,12,2012-02-02,
1185,Dungeon Siege,79,12,2002-04-05,
1186,Need for Speed: Hot Pursuit 2,80,3,2002-09-30,
1187,Shuffle! Love Rainbow,63,7,2011-04-28,
1188,Double Spoiler ~ Touhou Bunkachou,67,12,2010-03-14,
1189,Yousei Daisensou ~ Touhou Sangetsusei,68,12,2010-08-14,
1190,TNA Impact!: Cross the Line,77,18,2010-06-25,
1191,Cities in Motion,69,3,2014-01-09,
1192,Touhou Chireiden ~ Subterranean Animism,58,12,2008-08-16,
1193,Clive Barker's Jericho,74,18,2007-10-23,
1194,Klonoa: Empire of Dreams,89,3,2001-07-19,
1195,Colin McRae Rally 04,71,3,2003-09-19,
1196,Coloball 2002,59,16,2002-06-27,
1197,Final Fantasy XIV,83,16,2010-09-30,7
1198,Command & Conquer,84,12,1995-08-31,
1199,The Legend of Zelda: Spirit Tracks,78,7,2009-12-07,
1200,Soul Nomad & the World Eaters,82,12,2021-08-31,
1201,Firefall,52,16,2011-01-01,
1202,Crash Bandicoot: The Wrath of Cortex,77,3,2002-04-16,
1203,Crash Tag Team Racing,77,7,2005-10-19,10
1204,Crash of the Titans,78,7,2007-10-02,
1205,Tekken 6,77,12,2007-11-26,
1206,Shining Wind,91,12,2007-05-17,
1207,Super Smash Bros.,72,7,1999-01-21,
1208,Wolfenstein: Enemy Territory,65,16,2003-05-29,
1209,PixelJunk Monsters,69,3,2007-12-06,
1210,Victoria: An Empire Under the Sun,75,3,2003-01-01,
1211,Sangokushi Taisen,97,12,2005-01-01,
1212,Wii Play,59,3,2006-12-02,
1213,Animal Crossing: Wild World,77,0,2005-11-23,
1214,Tom Clancy's Splinter Cell: Double Agent,76,18,2006-10-17,
1215,Black & White,58,12,2001-03-25,
1216,The Black Mirror,72,12,2003-10-17,
1217,Blackthorne,79,12,1996-01-31,
1218,Blade Runner,62,16,1997-10-31,
1219,Blood,86,16,1997-05-31,
1220,Blur,79,7,2010-05-25,
1221,Body Harvest,67,16,1998-10-20,
1222,The Song of Saya,59,18,2003-12-26,
1223,Boiling Point: Road to Hell,90,16,2005-05-20,
1224,Super Robot Wars UX,84,12,2013-03-14,
1225,Border Down,89,12,2003-09-25,
1226,Borderlands 2,80,18,2014-05-13,
1227,Borderlands,76,18,2009-10-20,
1228,The Idolmaster,60,16,2005-07-26,
1229,Tenchu: Fatal Shadows,62,16,2004-07-22,
1230,Cross Channel,77,7,2003-09-26,
1231,Gorky 17,68,16,1999-11-30,
1232,Cut the Rope,76,3,2013-12-19,
1233,Samorost,78,3,2003-01-01,1
1234,Puyo Puyo! 15th Anniversary,53,3,2007-07-26,
1235,Mount & Blade,78,16,2008-09-16,
1236,RollerCoaster Tycoon 3,80,3,2004-10-26,
1237,Imperium Galactica II: Alliances,64,12,2000-04-10,
1238,Breakdown,82,18,2004-01-29,
1239,Desperados: Wanted Dead or Alive,84,12,2001-04-20,
1240,Neighbours from Hell,77,3,2003-06-20,
1241,Napoleon: Total War,74,16,2010-02-23,
1242,Metal Gear Solid 2: Sons of Liberty,87,16,2001-11-13,
1243,Special Force,79,18,2003-02-16,
1244,Empire Earth III,76,12,2007-11-06,
1245,Racing Lagoon,84,7,1999-06-10,
1246,Tom Clancy's Splinter Cell: Conviction,77,18,2010-04-13,
1247,Bomberman Land Touch!,66,7,2007-07-19,
1248,Vantage Master,65,12,1997-12-12,
1249,Guilty Gear 2: Overture,68,12,2016-03-31,
1250,Doom II RPG,56,18,2009-11-23,
1251,Gradius IV,77,3,1999-02-04,
1252,Symphonic Rain,85,0,2004-03-26,
1253,Dreamfall: The Longest Journey,85,16,2006-04-17,
1254,Ridge Racer 6,60,3,2005-11-22,
1255,Namco Museum Remix,85,3,2008-04-18,
1256,Persona 3,66,16,2008-02-29,
1257,Farmerama,68,3,2009-10-09,
1258,Warriors: Legends of Troy,68,18,2011-05-26,
1259,G-senjou no Maou - The Devil on G-String,89,18,2008-05-29,
1260,Of Orcs and Men,60,12,2012-10-11,
1261,Viva Piñata,72,3,2006-11-09,
1262,FIFA: Road to World Cup 98,85,3,1997-01-01,
1263,Unreal Tournament 2004,86,16,2004-03-16,
1264,Discworld Noir,83,12,1999-07-05,
1265,Street Fighter IV,76,12,2008-07-18,22
1266,Toki Tori,57,3,2018-03-30,
1267,Tomb Raider: Underworld,74,16,2009-01-23,
1268,The Witcher 2: Assassins of Kings,86,18,2011-05-17,49
1269,Prince of Persia: The Forgotten Sands,73,16,2010-05-18,
1270,SimCity,48,7,2013-03-05,10
1271,F1 2010,69,3,2010-09-22,8
1272,The Longest Journey,87,7,1999-11-19,
1273,Mario no Photopi,66,7,1998-12-02,
1274,Mario Super Sluggers,96,3,2008-06-19,
1275,Desperate Housewives: The Game,67,0,2006-10-05,
1276,Transformers: Beast Wars Transmetals,70,12,1999-12-09,
1277,Dragon Quest Characters: Torneko no Daibōken 3,75,16,2002-10-31,
1278,Bleach: The Blade of Fate,88,16,2006-01-26,
1279,NCAA Football 08,68,7,2007-07-17,
1280,Mortal Kombat 4,70,12,1997-10-15,
1281,Rogue Trooper,63,16,2009-02-20,
1282,"Ed, Edd n Eddy: The Mis-Edventures",72,3,2005-09-30,
1283,Condemned 2: Bloodshot,76,18,2008-03-11,
1284,"Warhammer 40,000: Dawn of War II",79,16,2009-02-19,
1285,Just Dance Kids,70,3,2011-02-03,
1286,Colour Cross,85,3,2008-12-05,
1287,WWE SmackDown vs. Raw 2007,80,16,2006-11-14,
1288,NHL 2001,63,12,2000-09-26,
1289,RollerCoaster Tycoon 2,56,3,2002-10-15,
1290,Playboy: The Mansion,84,16,2005-01-25,
1291,The Sims Life Stories,49,12,2007-02-06,
1292,Metal Gear Rising: Revengeance,85,18,2013-02-19,
1293,Stranded,79,16,2003-01-01,
1294,Lost in Shadow,73,7,2011-01-04,
1295,Thief: The Dark Project,69,16,1998-11-30,4
1296,Medal of Honor: Airborne,74,16,2007-09-04,
1297,Medal of Honor: Pacific Assault,75,16,2004-11-04,
1298,Two Worlds II,61,16,2010-11-12,
1299,Rodea the Sky Soldier,77,12,2015-01-01,
1300,Pilotwings 64,82,0,1996-06-23,
1301,Wild Arms 5,75,12,2006-12-14,
1302,Rage,69,18,2011-10-04,
1303,Giga Wing,86,7,1999-11-11,
1304,WWE SmackDown! vs. Raw,79,16,2004-11-02,
1305,Ben 10 Ultimate Alien: Cosmic Destruction,78,12,2011-01-11,44
1306,Wakfu,59,12,2014-01-10,
1307,Republic: The Revolution,70,12,2003-08-27,
1308,DoDonPachi Dai-Ou-Jou,83,12,2009-02-19,
1309,Dance Dance Revolution: Mario Mix,73,3,2005-07-14,
1310,Lemmings Revolution,88,3,2000-04-28,
1311,Donkey Kong Jungle Beat,73,3,2004-12-16,
1312,The Operative: No One Lives Forever,64,12,2000-12-08,
1313,Freelancer,67,12,2003-03-04,
1314,Fear Effect,78,16,2000-02-24,
1315,Kingdom Hearts 358/2 Days,77,12,2009-05-30,
1316,Silent Hill: Homecoming,64,18,2008-09-30,
1317,Might & Magic Heroes VI,69,16,2011-10-13,
1318,The Walking Dead: Season One,73,18,2012-04-24,
1319,Syphon Filter,75,18,1999-02-16,
1320,Shift 2 Unleashed,71,3,2011-03-29,
1321,La Pucelle: Tactics,67,12,2002-01-31,
1322,Retro Game Challenge,59,3,2007-11-15,
1323,Kingdoms of Amalur: Reckoning,72,18,2012-02-07,
1324,The Feeble Files,78,12,1997-01-01,
1325,MediEvil,55,7,1999-06-17,
1326,Armed and Dangerous,73,12,2003-12-02,
1327,Spyro 2: Ripto's Rage!,83,3,1999-11-02,
1328,Tribes: Aerial Assault,63,18,2002-09-23,
1329,Spyro: Year of the Dragon,88,3,2000-10-11,
1330,Spyro: A Hero's Tail,63,3,2004-11-03,
1331,Spyro: Shadow Legacy,77,7,2005-10-18,
1332,Hostile Waters: Antaeus Rising,43,12,2001-03-23,
1333,Japan Pro Golf Tour 64,82,16,2000-05-02,
1334,MediEvil 2,50,12,2000-04-21,
1335,Fable,77,12,2007-12-04,
1336,Shin Megami Tensei: Devil Survivor,64,12,2009-01-15,
1337,Call of Cthulhu: Dark Corners of the Earth,82,18,2005-10-24,
1338,Aliens vs. Predator: Extinction,58,16,2003-07-30,
1339,Krater,49,12,2012-06-12,
1340,Max Payne 2: The Fall of Max Payne,88,18,2003-10-14,10
1341,Alchemy,60,3,2001-08-29,
1342,Revelations: Persona,70,12,1996-09-20,
1343,Serious Sam: The First Encounter,81,16,2001-03-21,
1344,The Sims Castaway Stories,79,12,2008-01-29,
1345,Guitar Hero: Warriors of Rock,60,12,2010-09-24,
1346,Trojan,86,18,1997-10-26,
1347,Howrse,63,7,2005-01-01,
1348,International Superstar Soccer 3,67,16,2003-03-28,
1349,Crusader: No Remorse,74,18,1997-03-14,
1350,Daigasso! Band Brothers,80,0,2004-12-02,
1351,Total Annihilation,72,12,1997-09-30,
1352,The Sims Bustin' Out,57,3,2003-12-02,
1353,No More Heroes 2: Desperate Struggle,66,16,2021-06-09,
1354,Zendoku,66,0,2007-04-20,
1355,Advance Wars,97,7,2001-01-01,
1356,Clock Tower,83,12,2013-11-06,
1357,WWE SmackDown vs. Raw 2011,70,12,2010-10-26,
1358,Def Jam Vendetta,55,16,2003-03-31,
1359,F-Zero: Maximum Velocity,61,3,2001-03-21,
1360,Alien Trilogy,95,16,1996-05-31,
1361,Operation Flashpoint: Cold War Crisis,73,16,2001-06-22,18
1362,Ever 17: The Out of Infinity,86,12,2002-08-29,
1363,Spirit Camera: The Cursed Memoir,79,16,2012-01-12,
1364,Professor Layton vs. Ace Attorney,83,12,2012-11-29,
1365,Crazy Machines 2,65,7,2007-10-15,
1366,Risk II,84,7,2000-03-22,
1367,Age of Wonders: Shadow Magic,71,12,2003-07-25,
1368,Kirby: Squeak Squad,82,3,2006-11-02,
1369,The Matrix Online,72,12,2005-03-22,
1370,Jak 3,84,12,2004-11-09,
1371,Ape Escape,86,3,1999-05-31,
1372,Team Buddies,95,7,2000-09-15,
1373,Starhawk,65,16,2012-05-08,
1374,R-Type Final,73,3,2003-07-17,
1375,Duke Nukem Forever,57,18,2011-06-10,
1376,Spec Ops: The Line,82,18,2012-06-26,
1377,Second Sight,64,16,2004-09-03,
1378,Dark Sector,65,18,2008-03-25,
1379,Warlords Battlecry II,61,12,2002-03-12,
1380,Sexy Parodius,64,16,1996-11-01,
1381,WWF SmackDown! 2: Know Your Role,54,16,2000-11-21,
1382,Lego Pirates of the Caribbean,62,7,2011-05-10,
1383,Urban Reign,72,12,2005-09-13,
1384,The Legend of Zelda: Four Swords Adventures,63,3,2004-03-18,
1385,Operation 7,97,18,2009-05-01,
1386,Midtown Madness 2,70,7,2000-04-22,
1387,X-COM: Terror from the Deep,69,12,2013-08-27,
1388,The Legend of Heroes: Trails of Cold Steel,80,12,2021-07-08,5
1389,From Dust,69,12,2012-05-23,
1390,Angelique Etoile,86,16,2004-09-16,
1391,Rise of Nations: Rise of Legends,64,12,2006-05-09,
1392,Alone in the Dark,71,18,2008-06-20,10
1393,X-COM: Enforcer,47,12,2001-04-18,
1394,Grid 2,66,3,2013-05-27,8
1395,Sonic Generations,78,3,2011-11-01,39
1396,Hulk,69,12,2003-05-27,
1397,The Spiderwick Chronicles,72,7,2008-02-05,
1398,Turning Point: Fall of Liberty,55,12,2008-02-26,
1399,MechWarrior 3,48,12,1999-01-01,
1400,Disney Magicboard Online,85,7,2007-12-10,
1401,Metal Slug 2,81,12,1998-10-16,
1402,Fable III,75,16,2010-08-02,
1403,Batman: Vengeance,64,12,2001-10-15,
1404,Dark Savior,64,12,1996-08-30,
1405,Diner Dash 2: Restaurant Rescue,74,0,2006-01-18,
1406,Dead Island: Riptide,68,18,2013-04-23,
1407,Winx Club: Quest for the Codex,67,7,2006-11-06,
1408,Gran Turismo 3: A-Spec,85,3,2001-04-28,
1409,Evil Genius,76,12,2004-09-28,
1410,Ninja Gaiden,90,16,2004-03-02,
1411,Bomberman Touch,63,12,2008-07-10,
1412,DEFCON,61,7,2006-09-29,
1413,Deca Sports,68,3,2008-03-19,
1414,Race Driver: Grid,78,7,2008-05-30,8
1415,Bolt,56,16,2009-02-13,
1416,Godzilla Trading Battle,58,7,1998-12-03,
1417,Final Fantasy Fables: Chocobo Tales,59,12,2006-12-14,
1418,UEFA Euro 2000,72,3,2000-04-28,
1419,Gran Turismo 2,77,3,2000-01-28,
1420,Fable II,83,16,2008-07-08,
1421,Luigi's Mansion,86,0,2001-09-14,
1422,Romancing SaGa,85,7,2022-12-01,
1423,Summon Night: Twin Age,60,16,2007-08-30,
1424,Emperor: Battle for Dune,71,16,2001-06-12,
1425,Akai Ito,45,16,2004-10-21,
1426,Fallout Tactics: Brotherhood of Steel,67,16,2001-03-15,
1427,Phantasy Star Universe: Ambition of the Illuminus,80,12,2008-01-25,
1428,Broken Age,73,12,2018-09-13,
1429,Yggdra Union,67,16,2006-03-23,
1430,Romance of the Three Kingdoms XI,79,3,2007-03-21,
1431,Super Robot Wars J,62,7,2005-09-15,
1432,Code Lyoko: Fall of X.A.N.A.,75,3,2008-06-20,
1433,Riviera: The Promised Land,72,7,2024-05-29,
1434,Princess Waltz,86,7,2006-04-28,
1435,Giten Megami Tensei: Tokyo Mokushiroku,59,12,1999-12-22,
1436,Savage 2: A Tortured Soul,86,12,2008-01-16,
1437,Burnout Paradise,82,7,2008-01-21,10
1438,"Blast Works: Build, Trade, Destroy",65,18,2009-04-03,
1439,Buzz! Junior: Monster Rumble,97,3,2007-11-02,
1440,Buzz! Junior: Jungle Party,75,0,2007-10-30,
1441,Café 0 ~The Drowned Mermaid~,74,12,2015-01-29,
1442,Call of Juarez: Bound in Blood,78,16,2009-06-30,
1443,Civilization: Call to Power,75,7,1999-03-01,
1444,Brothers in Arms 2: Global Front,72,18,2010-02-22,
1445,Gift,68,12,2005-01-01,
1446,Batman: The Brave and the Bold – The Videogame,90,12,2010-09-07,
1447,The Walking Dead: Survival Instinct,77,18,2013-03-21,41
1448,Danganronpa: Trigger Happy Havoc,86,16,2010-01-01,
1449,Emil Chronicle Online,66,7,2005-11-24,
1450,Hitman 2: Silent Assassin,79,16,2002-09-30,
1451,Championship Manager: Season 01/02,74,16,2001-10-12,
1452,MySims Kingdom,97,7,2024-11-19,
1453,Rock Revolution,53,3,2008-10-15,
1454,Polarium,63,3,2004-12-02,
1455,Crisis Zone,92,16,2004-09-17,
1456,Touhou Youyoumu ~ Perfect Cherry Blossom,67,16,2003-08-17,
1457,Touhou Eiyashou ~ Imperishable Night,61,12,2004-08-15,
1458,Record of Agarest War,67,12,2007-09-27,
1459,Ultima Online,78,16,1997-09-24,
1460,Warriors of Fate,72,12,1996-03-22,
1461,Carrier Command,73,3,2022-12-24,
1462,Super Swing Golf,61,16,2007-06-08,
1463,428: Shibuya Scramble,57,12,2008-12-04,
1464,Touhou Fuujinroku ~ Mountain of Faith,64,12,2007-08-17,
1465,Super Mario World 2: Yoshi's Island,87,3,1995-08-05,
1466,Brunswick Pro Bowling,77,3,2007-08-28,
1467,Company of Heroes Online,86,18,2010-09-02,
1468,Mario Kart 64,59,3,1996-12-14,
1469,Guitar Hero III: Legends of Rock,88,12,2008-05-22,
1470,Crush,75,7,2007-05-25,
1471,Clear,65,7,2007-08-24,
1472,Street Legal Racing: Redline,83,3,2003-07-18,
1473,Postal,60,18,1997-11-14,
1474,Touhou Suimusou ~ Immaterial and Missing Power,81,18,2004-12-30,
1475,Touhou Hisoutensoku,79,16,2009-08-15,
1476,Resident Evil – Code: Veronica,67,16,2000-02-03,
1477,Super Mario 3D Land,83,3,2011-11-03,
1478,Touhou Bunkachou ~ Shoot the Bullet,78,12,2005-12-30,
1479,Gears of War 3,84,18,2011-09-20,
1480,Touhou Kaeidzuka ~ Phantasmagoria of Flower View,93,16,2005-08-14,
1481,Tropico,77,12,2001-04-21,
1482,Bleach: Soul Resurrección,64,12,2011-06-23,
1483,Bleach: Dark Souls,70,12,2007-02-15,
1484,Midtown Madness,86,7,1999-02-27,
1485,Touhou Shinreibyou ~ Ten Desires,80,12,2011-05-08,
1486,ProtoGalaxy,37,18,2010-10-06,
1487,Cave Story,79,7,2010-12-10,
1488,Unreal Tournament 3,83,18,2007-11-12,
1489,Crash Bandicoot Purple: Ripto's Rampage and Spyro Orange: The Cortex Conspiracy,88,3,2004-06-03,
1490,Super Smash Bros. Melee,87,3,2001-11-24,
1491,Tekken 5,65,12,2005-02-24,
1492,Resident Evil: The Umbrella Chronicles,74,18,2007-11-13,
1493,Real Bout Fatal Fury 2: The Newcomers,74,18,1998-03-19,
1494,Tom Clancy's Splinter Cell: Pandora Tomorrow,82,12,2004-03-23,
1495,Centipede,72,3,2010-11-03,
1496,Ace of Spades,71,16,2012-12-12,
1497,Bittersweet Fools,78,12,2001-08-31,
1498,Haru no Ashioto,59,16,2004-07-23,
1499,Ōkamiden,62,12,2010-09-30,
1500,Resident Evil Zero,80,18,2019-05-21,
1501,Super Robot Wars Destiny,78,12,2003-08-08,
1502,Thor: God of Thunder,69,16,2011-04-28,41
1503,Puyo Pop Fever,58,3,2004-02-04,10
1504,Zone of the Enders: The 2nd Runner,78,12,2003-02-13,
1505,Puyo Puyo!! 20th Anniversary,70,3,2011-07-14,
1506,Super Mario All-Stars,61,3,1993-07-14,
1507,Silent Hill: Play Novel,61,16,2001-01-01,
1508,Mario Strikers Charged,49,7,2007-05-25,
1509,The Legend of Zelda: Link's Awakening,68,7,1993-12-01,
1510,Hearts of Iron II,69,18,2005-01-04,28
1511,Super Mario Kart,81,3,1992-08-27,
1512,"Warhammer 40,000: Dawn of War",78,16,2004-09-20,
1513,Tekken 3,87,12,1998-03-26,
1514,Chaos on Deponia,81,12,2012-11-06,
1515,drummania,89,7,2010-01-01,
1516,English Training: Have Fun Improving Your Skills!,75,0,2006-01-26,
1517,Super Mario RPG,48,3,1996-03-09,
1518,Jet Set Radio Future,83,7,2002-02-22,
1519,Medal of Honor: Underground,68,12,2000-10-23,
1520,Oddworld: Abe's Oddysee,71,12,1997-08-31,
1521,Big Brain Academy,84,3,2005-06-30,
1522,Rune Factory: A Fantasy Harvest Moon,71,7,2006-08-24,
1523,Dragon Age II,68,18,2011-03-08,
1524,Salamander 2,69,12,1996-06-19,
1525,Lord of Ultima,63,12,2010-04-20,
1526,Shuffle!,75,12,2004-01-01,
1527,Re-Volt,59,0,1999-07-31,
1528,Starship Titanic,67,16,1998-01-01,
1529,Prince of Persia 3D,46,12,2000-01-01,
1530,Ice Climber,61,0,1985-01-30,
1531,Runaway: A Road Adventure,82,12,2004-05-15,
1532,Lego Harry Potter: Years 1–4,76,7,2010-06-25,
1533,Orcs Must Die!,74,12,2011-10-05,
1534,Cities XL,70,12,2009-10-08,
1535,Wario Land: Shake It!,64,7,2008-07-24,
1536,Shin Megami Tensei III: Nocturne,76,16,2005-01-01,
1537,Darklands,69,16,2014-10-17,
1538,Chaser,65,16,2003-08-30,
1539,Growlanser,69,12,1999-11-25,
1540,Sonic the Hedgehog,73,12,2007-01-30,
1541,Tom Clancy's Rainbow Six,86,16,1998-08-21,
1542,Sonic Adventure,80,3,2011-03-04,
1543,Lumines,63,0,2004-12-12,
1544,Enemy Territory: Quake Wars,71,18,2007-09-28,
1545,Populous: The Beginning,65,12,1998-11-30,
1546,Crusader Kings,62,3,2004-08-27,28
1547,007: Quantum of Solace,84,16,2009-03-26,13
1548,Intelligent Qube,50,3,1997-01-31,
1549,Border Break,81,16,2009-09-09,
1550,Sonic Adventure 2,79,3,2012-10-02,
1551,Civilization IV: Colonization,61,7,2008-09-23,
1552,The King of Fighters '96,82,12,1996-07-30,
1553,Digimon World DS,61,7,2006-06-15,
1554,The King of Fighters XII,65,12,2009-04-10,
1555,No More Heroes,84,16,2008-01-22,
1556,Doom 64,77,18,1997-03-31,
1557,The King of Fighters '97,63,16,1997-07-28,
1558,Panel de Pon,61,3,1996-08-01,
1559,The King of Fighters 2003,78,18,2003-01-01,
1560,The Chronicles of Riddick: Escape from Butcher Bay,86,16,2004-06-01,
1561,The King of Fighters '99,62,12,1999-07-22,
1562,The King of Fighters 2000,74,12,2000-07-26,
1563,Donkey Kong Country 2: Diddy's Kong Quest,87,3,1995-11-20,
1564,Child of Eden,66,7,2011-06-14,
1565,Metal Slug X,83,12,2014-10-02,
1566,Final Fantasy Tactics Advance,79,3,2003-02-14,
1567,Tekken 4,87,12,2002-03-28,
1568,Digimon World Data Squad,65,16,2006-11-30,
1569,25 to Life,79,18,2006-01-17,
1570,Project Torque,74,3,2008-04-30,
1571,Touhou Koumakyou ~ The Embodiment of Scarlet Devil,74,16,2002-08-11,
1572,WarioWare: Smooth Moves,69,7,2006-12-02,
1573,Paper Mario: The Thousand-Year Door,86,3,2004-07-22,
1574,Fate/Extra,80,12,2010-07-22,
1575,R.U.S.E.,71,16,2010-09-07,23
1576,Front Mission Evolved,64,12,2010-09-28,
1577,Ace Combat: Joint Assault,74,16,2010-08-26,
1578,One Piece: Grand Battle!,63,12,2005-03-17,
1579,Traffic Giant,74,0,2001-02-28,
1580,Singularity,80,18,2010-06-25,
1581,Might and Magic VIII: Day of the Destroyer,74,12,2000-03-07,
1582,Metal Gear Solid: Digital Graphic Novel,88,12,2006-01-01,
1583,Majin and the Forsaken Kingdom,53,12,2010-11-23,
1584,Might and Magic VII: For Blood and Honor,75,16,1999-01-01,
1585,Kingdom Hearts Coded,73,12,2008-11-18,
1586,Imperivm: Great Battles of Rome,54,7,2005-05-10,
1587,Warriors Orochi,65,12,2007-03-21,
1588,Chrono Cross,77,12,1999-11-18,
1589,Dead or Alive: Dimensions,85,16,2011-05-19,
1590,Madden NFL Football,73,12,2011-03-27,
1591,Super Robot Wars W,62,12,2007-03-01,
1592,Order & Chaos Online,52,12,2011-04-27,
1593,CS2D,65,18,2004-03-27,
1594,Super Robot Wars A,72,12,2001-09-21,
1595,Oddworld: Munch's Oddysee,68,12,2001-11-15,
1596,Mario Pinball Land,76,12,2004-08-26,
1597,Battlefield 2: Modern Combat,66,12,2006-01-26,10
1598,Spider-Man: Friend or Foe,83,7,2007-10-02,
1599,Initial D: Street Stage,73,0,2006-02-20,
1600,Initial D Arcade Stage 4,47,7,2007-02-21,
1601,Claw,72,7,1997-09-30,
1602,Another Century's Episode Portable,78,16,2011-01-13,5
1603,Super Robot Wars MX,85,12,2004-05-27,
1604,Clive Barker's Undying,84,18,2001-02-21,
1605,Codename Eagle,86,18,2000-03-29,
1606,Codename: Panzers,80,12,2004-09-30,
1607,Aiyoku no Eustia,70,18,2011-04-28,
1608,Dreamkiller,62,18,2009-10-12,
1609,64 Hanafuda: Tenshi no Yakusoku,81,3,1999-11-05,
1610,Waku Waku 7,67,18,1996-11-21,
1611,King Arthur: The Role-Playing Wargame,54,12,2009-11-25,
1612,Pokémon Puzzle League,76,3,2000-09-25,
1613,Ace Combat 5: The Unsung War,63,12,2004-10-21,
1614,Columns,69,3,2010-09-13,
1615,Pokémon Trozei!,54,3,2005-10-20,
1616,Zeno Clash,72,16,2009-04-21,
1617,Atelier Meruru: The Apprentice of Arland,72,12,2011-06-23,5
